Year,Quarter,MAE
2022,1,0.10374326328433092
2022,2,0.20212381959133552
2022,3,0.2948312073109891
2022,4,0.03718238098097615
2023,1,0.15122295426658905
2023,2,0.7921132356981246
2023,3,0.09300930787915274
2023,4,0.005014892368882862
2024,1,0.02391075466239112
2024,2,0.4337935862446587
2024,3,0.143089803553762
